Date,USDCLP,Copper,Oil,DXY,SP500,VIX
2013-10-08,,3.2820000648498535,103.48999786376953,80.05999755859375,1655.449951171875,20.34000015258789
2013-10-09,499.45001220703125,3.2214999198913574,101.61000061035156,80.37000274658203,1656.4000244140625,19.600000381469727
2013-10-10,500.6000061035156,3.240999937057495,103.01000213623047,80.41999816894531,1692.56005859375,16.479999542236328
2013-10-11,496.29998779296875,3.265000104904175,102.0199966430664,80.36000061035156,1703.199951171875,15.720000267028809
2013-10-14,497.79998779296875,3.299999952316284,102.41000366210938,80.26000213623047,1710.1400146484375,16.06999969482422
2013-10-15,497.54998779296875,3.303999900817871,101.20999908447266,80.4800033569336,1698.06005859375,18.65999984741211
2013-10-16,498.3999938964844,3.30049991607666,102.29000091552734,80.5,1721.5400390625,14.710000038146973
2013-10-17,495.6499938964844,3.2890000343322754,100.66999816894531,79.6500015258789,1733.1500244140625,13.479999542236328
2013-10-18,493.1499938964844,3.2929999828338623,100.80999755859375,79.63999938964844,1744.5,13.039999961853027
2013-10-21,496.79998779296875,3.2960000038146973,99.22000122070312,79.68000030517578,1744.6600341796875,13.15999984741211
2013-10-22,501.1000061035156,3.3285000324249268,97.80000305175781,79.23999786376953,1754.6700439453125,13.329999923706055
2013-10-23,498.3999938964844,3.2664999961853027,96.86000061035156,79.26000213623047,1746.3800048828125,13.420000076293945
2013-10-24,504.3999938964844,3.260999917984009,97.11000061035156,79.19000244140625,1752.0699462890625,13.199999809265137
2013-10-25,503.0,3.265500068664551,97.8499984741211,79.18000030517578,1759.77001953125,13.09000015258789
2013-10-28,504.79998779296875,3.260999917984009,98.68000030517578,79.25,1762.1099853515625,13.3100004196167
2013-10-29,506.20001220703125,3.2755000591278076,98.19999694824219,79.62999725341797,1771.949951171875,13.40999984741211
2013-10-30,508.1000061035156,3.320499897003174,96.7699966430664,79.75,1763.31005859375,13.649999618530273
2013-10-31,508.29998779296875,3.2945001125335693,96.37999725341797,80.19999694824219,1756.5400390625,13.75
2013-11-01,508.29998779296875,3.2934999465942383,94.61000061035156,80.7300033569336,1761.6400146484375,13.279999732971191
2013-11-04,508.29998779296875,3.247499942779541,94.62000274658203,80.55000305175781,1767.9300537109375,12.930000305175781
2013-11-05,512.5499877929688,3.252500057220459,93.37000274658203,80.70999908447266,1762.969970703125,13.270000457763672
2013-11-06,515.2999877929688,3.234999895095825,94.80000305175781,80.4800033569336,1770.489990234375,12.670000076293945
2013-11-07,514.0499877929688,3.249000072479248,94.19999694824219,80.81999969482422,1747.1500244140625,13.90999984741211
2013-11-08,516.5,3.253000020980835,94.5999984741211,81.20999908447266,1770.6099853515625,12.899999618530273
2013-11-11,518.0,3.26200008392334,95.13999938964844,81.08999633789062,1771.8900146484375,12.529999732971191
2013-11-12,519.6500244140625,3.2365000247955322,93.04000091552734,81.19000244140625,1767.68994140625,12.819999694824219
2013-11-13,521.4000244140625,3.1640000343322754,93.87999725341797,80.93000030517578,1782.0,12.520000457763672
2013-11-14,520.4000244140625,3.1610000133514404,93.76000213623047,80.9800033569336,1790.6199951171875,12.369999885559082
2013-11-15,518.7999877929688,3.1730000972747803,93.83999633789062,80.83999633789062,1798.1800537109375,12.1899995803833
2013-11-18,519.7999877929688,3.1535000801086426,93.02999877929688,80.83000183105469,1791.530029296875,13.100000381469727
2013-11-19,517.4000244140625,3.1619999408721924,93.33999633789062,80.69999694824219,1787.8699951171875,13.390000343322754
2013-11-20,519.25,3.1614999771118164,93.33000183105469,81.11000061035156,1781.3699951171875,13.399999618530273
2013-11-21,522.9500122070312,3.197499990463257,95.44000244140625,81.05000305175781,1795.8499755859375,12.65999984741211
2013-11-22,521.1500244140625,3.2265000343322754,94.83999633789062,80.70999908447266,1804.760009765625,12.260000228881836
2013-11-25,518.5,3.239000082015991,94.08999633789062,80.91999816894531,1802.47998046875,12.789999961853027
2013-11-26,520.0999755859375,3.2290000915527344,93.68000030517578,80.61000061035156,1802.75,12.8100004196167
2013-11-27,521.5,3.200500011444092,92.30000305175781,80.73999786376953,1807.22998046875,12.979999542236328
2013-11-28,527.7000122070312,,,,,
2013-11-29,528.0999755859375,3.2304999828338623,92.72000122070312,80.68000030517578,1805.81005859375,13.699999809265137
2013-12-02,531.75,3.2174999713897705,93.81999969482422,80.91000366210938,1800.9000244140625,14.229999542236328
2013-12-03,532.5499877929688,3.2009999752044678,96.04000091552734,80.62000274658203,1795.1500244140625,14.550000190734863
2013-12-04,533.5,3.2715001106262207,97.19999694824219,80.62999725341797,1792.81005859375,14.699999809265137
2013-12-05,532.2000122070312,3.2614998817443848,97.37999725341797,80.2699966430664,1785.030029296875,15.079999923706055
2013-12-06,529.4000244140625,3.2695000171661377,97.6500015258789,80.2699966430664,1805.0899658203125,13.789999961853027
2013-12-09,525.4000244140625,3.2955000400543213,97.33999633789062,80.12999725341797,1808.3699951171875,13.489999771118164
2013-12-10,528.5,3.301500082015991,98.51000213623047,79.97000122070312,1802.6199951171875,13.90999984741211
2013-12-11,530.3499755859375,3.3315000534057617,97.44000244140625,79.88999938964844,1782.219970703125,15.420000076293945
2013-12-12,532.8499755859375,3.3320000171661377,97.5,80.19999694824219,1775.5,15.539999961853027
2013-12-13,530.7000122070312,3.3519999980926514,96.5999984741211,80.20999908447266,1775.3199462890625,15.760000228881836
2013-12-16,528.2999877929688,3.375999927520752,97.4800033569336,80.06999969482422,1786.5400390625,16.030000686645508
2013-12-17,526.5499877929688,3.367000102996826,97.22000122070312,80.05999755859375,1781.0,16.209999084472656
2013-12-18,526.5,3.3610000610351562,97.80000305175781,80.11000061035156,1810.6500244140625,13.800000190734863
2013-12-19,527.2000122070312,3.3405001163482666,98.7699966430664,80.62999725341797,1809.5999755859375,14.149999618530273
2013-12-20,529.5999755859375,3.3480000495910645,99.31999969482422,80.58000183105469,1818.3199462890625,13.789999961853027
2013-12-23,529.5,3.3505001068115234,98.91000366210938,80.44999694824219,1827.989990234375,13.039999961853027
2013-12-24,526.9500122070312,3.4175000190734863,99.22000122070312,80.52999877929688,1833.3199462890625,12.479999542236328
2013-12-25,528.25,,,,,
2013-12-26,528.25,3.44950008392334,99.55000305175781,80.4800033569336,1842.02001953125,12.329999923706055
2013-12-27,524.2999877929688,3.4700000286102295,100.31999969482422,80.38999938964844,1841.4000244140625,12.460000038146973
2013-12-30,523.5999755859375,3.4205000400543213,99.29000091552734,80.0,1841.0699462890625,13.5600004196167
2013-12-31,525.5999755859375,3.441499948501587,98.41999816894531,80.04000091552734,1848.3599853515625,13.720000267028809
2014-01-01,525.5999755859375,,,,,
2014-01-02,525.5999755859375,3.43149995803833,95.44000244140625,80.62999725341797,1831.97998046875,14.229999542236328
2014-01-03,529.0,3.4059998989105225,93.95999908447266,80.79000091552734,1831.3699951171875,13.760000228881836
2014-01-06,528.9000244140625,3.4119999408721924,93.43000030517578,80.6500015258789,1826.77001953125,13.550000190734863
2014-01-07,531.4000244140625,3.4110000133514404,93.66999816894531,80.83000183105469,1837.8800048828125,12.920000076293945
2014-01-08,530.5,3.3935000896453857,92.33000183105469,81.04000091552734,1837.489990234375,12.869999885559082
