model,mae,rmse,mape,directional_accuracy
LightGBM_7D,30.30123969872585,36.94404572878004,3.2959886057389185,37.19115734720416
ElasticNet_7D,20.265994792471833,25.0389151233667,2.2034291666072847,46.94408322496749
LightGBM_15D,61.376358296229036,72.7152865943948,6.7221608573195075,45.07227332457293
ElasticNet_15D,23.881987904825515,29.195979725644104,2.6127450835876056,58.47568988173456
LightGBM_30D,73.16098716593987,91.07645974016961,8.224313596761242,35.79088471849866
ElasticNet_30D,29.81917586105303,37.25151506950382,3.305253457744016,53.61930294906166
LightGBM_90D,69.91461885504035,78.5009956587384,7.497398328344139,50.583090379008745
ElasticNet_90D,39.07995296006586,49.09286224367319,4.32935185983831,51.74927113702624
